BASE_YEAR,BASE_MONTH,MANAGE_CODE_NAME,CLASS_NO_NAME,AGE_DC,VALUE
2019,1,다대도서관,예술,80,8
2019,1,다대도서관,예술,90,6
2019,1,다대도서관,자연과학,10,279
2019,1,다대도서관,자연과학,100,1
2019,1,다대도서관,자연과학,20,310
2019,1,다대도서관,자연과학,30,43
2019,1,다대도서관,자연과학,40,203
2019,1,다대도서관,자연과학,50,462
2019,1,다대도서관,자연과학,60,44
2019,1,다대도서관,자연과학,70,33
2019,1,다대도서관,자연과학,80,17
2019,1,다대도서관,자연과학,90,11
2019,1,다대도서관,종교,10,7
2019,1,다대도서관,종교,20,22
2019,1,다대도서관,종교,30,11
2019,1,다대도서관,종교,40,39
2019,1,다대도서관,종교,50,47
2019,1,다대도서관,종교,60,44
2019,1,다대도서관,종교,70,23
2019,1,다대도서관,종교,80,1
2019,1,다대도서관,종교,90,2
2019,1,다대도서관,철학,10,32
2019,1,다대도서관,철학,20,135
2019,1,다대도서관,철학,30,89
2019,1,다대도서관,철학,40,95
2019,1,다대도서관,철학,50,202
2019,1,다대도서관,철학,60,70
2019,1,다대도서관,철학,70,50
2019,1,다대도서관,철학,80,26
2019,1,다대도서관,철학,90,1
2019,1,다대도서관,총류,10,110
2019,1,다대도서관,총류,20,176
2019,1,다대도서관,총류,30,42
2019,1,다대도서관,총류,40,86
2019,1,다대도서관,총류,50,256
2019,1,다대도서관,총류,60,33
2019,1,다대도서관,총류,70,18
2019,1,다대도서관,총류,80,6
2019,1,대라다목적도서관,기술과학,20,14
2019,1,대라다목적도서관,기술과학,30,3
2019,1,대라다목적도서관,기술과학,40,8
2019,1,대라다목적도서관,기술과학,50,12
2019,1,대라다목적도서관,기술과학,60,9
2019,1,대라다목적도서관,기술과학,70,6
2019,1,대라다목적도서관,문학,10,61
2019,1,대라다목적도서관,문학,20,73
2019,1,대라다목적도서관,문학,30,32
2019,1,대라다목적도서관,문학,40,76
2019,1,대라다목적도서관,문학,50,136
2019,1,대라다목적도서관,문학,60,21
2019,1,대라다목적도서관,문학,70,3
2019,1,대라다목적도서관,문학,80,9
2019,1,대라다목적도서관,사회과학,10,8
2019,1,대라다목적도서관,사회과학,20,32
2019,1,대라다목적도서관,사회과학,30,9
2019,1,대라다목적도서관,사회과학,40,33
2019,1,대라다목적도서관,사회과학,50,38
2019,1,대라다목적도서관,사회과학,60,7
2019,1,대라다목적도서관,사회과학,70,5
2019,1,대라다목적도서관,언어,20,5
2019,1,대라다목적도서관,언어,30,4
2019,1,대라다목적도서관,언어,40,2
2019,1,대라다목적도서관,언어,50,5
2019,1,대라다목적도서관,역사,10,2
2019,1,대라다목적도서관,역사,20,6
2019,1,대라다목적도서관,역사,30,1
2019,1,대라다목적도서관,역사,40,9
2019,1,대라다목적도서관,역사,50,14
2019,1,대라다목적도서관,역사,60,4
2019,1,대라다목적도서관,역사,70,1
2019,1,대라다목적도서관,예술,10,1
2019,1,대라다목적도서관,예술,20,5
2019,1,대라다목적도서관,예술,30,1
2019,1,대라다목적도서관,예술,40,5
2019,1,대라다목적도서관,예술,50,8
2019,1,대라다목적도서관,예술,60,2
2019,1,대라다목적도서관,예술,70,1
2019,1,대라다목적도서관,자연과학,10,15
2019,1,대라다목적도서관,자연과학,20,29
2019,1,대라다목적도서관,자연과학,40,7
2019,1,대라다목적도서관,자연과학,50,36
2019,1,대라다목적도서관,자연과학,70,1
2019,1,대라다목적도서관,종교,50,11
2019,1,대라다목적도서관,철학,10,3
2019,1,대라다목적도서관,철학,20,7
2019,1,대라다목적도서관,철학,30,6
2019,1,대라다목적도서관,철학,40,3
2019,1,대라다목적도서관,철학,50,7
2019,1,대라다목적도서관,철학,60,2
2019,1,대라다목적도서관,철학,70,6
2019,1,대라다목적도서관,총류,10,2
2019,1,대라다목적도서관,총류,20,7
2019,1,대라다목적도서관,총류,30,5
2019,1,대라다목적도서관,총류,40,8
2019,1,대라다목적도서관,총류,50,10
2019,1,동구도서관,기술과학,10,8
2019,1,동구도서관,기술과학,20,22
2019,1,동구도서관,기술과학,30,6
2019,1,동구도서관,기술과학,40,36
2019,1,동구도서관,기술과학,50,65
2019,1,동구도서관,기술과학,60,7
2019,1,동구도서관,기술과학,70,7
2019,1,동구도서관,기술과학,80,8
2019,1,동구도서관,문학,10,115
2019,1,동구도서관,문학,20,273
2019,1,동구도서관,문학,30,79
2019,1,동구도서관,문학,40,240
2019,1,동구도서관,문학,50,387
2019,1,동구도서관,문학,60,125
2019,1,동구도서관,문학,70,54
2019,1,동구도서관,문학,80,26
2019,1,동구도서관,사회과학,10,15
2019,1,동구도서관,사회과학,20,31
