BASE_YEAR,BASE_MONTH,GU_DC,WORKTIME_DC,MV_CNT
2018,2,연제구,퇴근,15122
2018,2,영도구,출근,6373
2018,2,영도구,퇴근,5665
2018,2,중구,출근,10427
2018,2,중구,퇴근,10564
2018,2,해운대구,출근,19697
2018,2,해운대구,퇴근,21642
2018,3,강서구,출근,50319
2018,3,강서구,퇴근,32123
2018,3,금정구,출근,14255
2018,3,금정구,퇴근,15418
2018,3,기장군,출근,36735
2018,3,기장군,퇴근,32738
2018,3,남구,출근,13314
2018,3,남구,퇴근,13319
2018,3,동구,출근,8963
2018,3,동구,퇴근,8123
2018,3,동래구,출근,18698
2018,3,동래구,퇴근,20804
2018,3,부산진구,출근,20465
2018,3,부산진구,퇴근,23607
2018,3,북구,출근,16093
2018,3,북구,퇴근,18248
2018,3,사상구,출근,25545
2018,3,사상구,퇴근,23772
2018,3,사하구,출근,19764
2018,3,사하구,퇴근,20059
2018,3,서구,출근,7136
2018,3,서구,퇴근,5710
2018,3,수영구,출근,15469
2018,3,수영구,퇴근,18307
2018,3,연제구,출근,15111
2018,3,연제구,퇴근,15468
2018,3,영도구,출근,6623
2018,3,영도구,퇴근,5997
2018,3,중구,출근,10347
2018,3,중구,퇴근,10404
2018,3,해운대구,출근,19401
2018,3,해운대구,퇴근,21401
2018,4,강서구,출근,50134
2018,4,강서구,퇴근,32947
2018,4,금정구,출근,14405
2018,4,금정구,퇴근,15520
2018,4,기장군,출근,37955
